run_id,window,is_control,profit_factor,max_drawdown_pct,monthly_profit_norm_pct,tail_worsening_count_guard,economic_metrics_valid_ratio,passes_constraints,violations
baseline_A,LW12M,True,1.15,2.4,2.1,0,1.0,True,[]
baseline_A,LW6M,True,1.18,2.1,2.2,0,1.0,True,[]
variant_ed1,LW12M,False,1.11,2.9,2.01,0,1.0,True,[]
variant_ed1,LW6M,False,1.13,2.8,2.05,0,1.0,True,[]
variant_ed3,LW12M,False,1.19,2.2,2.28,0,1.0,True,[]
variant_ed3,LW6M,False,1.22,1.9,2.35,0,1.0,True,[]
variant_ed4,LW12M,False,1.21,2.0,2.38,0,1.0,True,[]
variant_ed4,LW6M,False,1.25,1.7,2.45,0,1.0,True,[]
variant_ed5,LW12M,False,1.1,2.8,2.0,0,1.0,True,[]
variant_ed5,LW6M,False,1.12,2.6,2.02,0,1.0,True,[]
